Trial,ButtonPressTimeinOverallExp,squareStartTime,squareStartFrame,flash_circleStartTime,flash_circleStartFrame,flash_circleEndTime,flash_circleEndFrame,lilsquareStartTime,lilsquareStartFrame,lilsquareEndTime,lilsquareEndFrame,lilafterflash,ButtonPressTime,Key,false_presses,Acc,Opacity,FlashSide,CorrSide,frameRate,session,participant
0,67.4790171,1.0991337,66,1.8326672,110,1.8660125,112,2.9492822,177,2.982632,179,47,3.9825544,nope,0,0,0.0935,1,1,59.96778534,3,606
-1,71.4661081,1.1287135,68,1.6123384,97,1.6452818,99,2.41189,145,2.4456898,147,28,3.4456231,nope,0,0,0.0935,-1,0,59.96778534,3,606
-2,74.9158818,1.0794152,65,1.6791058,101,1.7122353,103,2.4292998,146,2.4624638,148,25,3.4622635,nope,0,0,0.0935,1,0,59.96778534,3,606
-3,78.3819829,1.1964693,72,1.863248,112,1.8963685,114,2.3462012,141,2.3796411,143,9,3.3792522,nope,0,0,0.0935,0,1,59.96778534,3,606
-4,81.7640672,1.0649739,64,1.5312622,92,1.5643375,94,1.9312399,116,1.9643586,118,4,2.9645079,nope,0,0,0.0935,0,0,59.96778534,3,606
-5,84.7330772,1.161988,70,1.7123587,103,1.745622,105,2.5618153,154,2.5953241,156,31,3.5954887,nope,0,0,0.0935,0,0,59.96778534,3,606
-6,88.3324594,1.0626176,64,1.5291018,92,1.5624686,94,2.3454512,141,2.378931,143,29,3.3792539,nope,0,0,0.0935,-1,-1,59.96778534,3,606
-7,91.7158833,1.0123183,61,1.5453587,93,1.5789046,95,2.5621769,154,2.5955628,156,41,3.5950742,nope,0,0,0.0935,-1,-1,59.96778534,3,606
-8,95.3137783,1.1482503,69,1.6147369,97,1.648102,99,2.1312386,128,2.1649397,130,11,3.1651359,nope,0,0,0.0935,1,1,59.96778534,3,606
-9,98.4840107,1.0443728,63,1.57741,95,1.6108083,97,2.344164,141,2.3779356,143,26,3.3774477,nope,0,0,0.0935,-1,0,59.96778534,3,606
-10,102.0136302,1.1318228,68,1.9316772,116,1.9651749,118,2.5646991,154,2.598198,156,18,3.5982834,nope,0,0,0.0935,0,0,59.96778534,3,606
