Trial,ButtonPressTimeinOverallExp,squareStartTime,squareStartFrame,flash_circleStartTime,flash_circleStartFrame,flash_circleEndTime,flash_circleEndFrame,lilsquareStartTime,lilsquareStartFrame,lilsquareEndTime,lilsquareEndFrame,lilafterflash,ButtonPressTime,Key,false_presses,Acc,Opacity,FlashSide,CorrSide,frameRate,participant
0,191.8336016,1.050138623,62,1.533853241,91,1.567214096,93,2.100943415,125,2.134367331,127,2,2.501515653,l,0,1,0.119,1,1,59.94404568,322
-1,194.3358707,1.116587193,67,1.767178312,106,1.800540634,108,3.051435397,183,3.084884977,185,45,4.085562511,nope,1,0,0.119,-1,-1,59.94404568,322
-2,198.4221877,1.100179723,66,1.900864076,114,1.934234463,116,3.218449385,193,3.251842137,195,47,4.252712153,nope,1,0,0.119,-1,1,59.94404568,322
-3,202.6755869,1.050110026,63,1.884047812,113,1.917403534,115,3.185037569,191,3.21847505,193,46,4.219301803,nope,1,0,0.119,1,1,59.94404568,322
-4,206.8955677,1.033397518,62,1.800602595,108,1.833997547,110,2.718095587,163,2.751407313,165,23,3.752135076,nope,1,0,0.119,1,1,59.94404568,322
-5,210.6483924,1.20031325,72,1.900780484,114,1.934130707,116,2.951620106,177,2.984958596,179,31,3.985716789,nope,1,0,0.119,1,-1,59.94404568,322
-6,214.6348762,1.150218255,69,1.634043595,98,1.667336624,100,2.884906828,173,2.918298847,175,43,3.919078304,nope,1,0,0.119,-1,1,59.94404568,322
-7,218.5546365,1.016768602,61,1.533755717,92,1.567112905,94,2.367835022,142,2.401115951,144,18,3.401884043,nope,1,0,0.119,-1,-1,59.94404568,322
-8,221.9572703,1.000084692,60,1.750668918,105,1.784077802,107,2.984990127,179,3.018378112,181,42,4.019144371,nope,1,0,0.119,1,-1,59.94404568,322
-9,225.9771178,1.100256715,66,1.800811574,108,1.834171696,110,3.085062426,185,3.118510173,187,45,4.119284131,nope,1,0,0.119,1,1,59.94404568,322
-10,230.7622394,1.085438956,65,1.652581559,99,1.68602014,101,2.269719799,136,2.303174878,138,5,3.303864511,nope,1,0,0.119,1,1,59.94404568,322
-11,234.0670495,0.999854814,60,1.466963613,88,1.500336934,90,2.534351492,152,2.567749744,154,32,3.568624525,nope,1,0,0.143137838,-1,1,59.94404568,322
-12,237.6365715,1.099777162,66,1.516841929,91,1.550121758,93,2.067195764,124,2.100555886,126,1,3.101420402,nope,1,0,0.159512783,1,1,59.94404568,322
-13,240.7389862,1.183289472,71,1.767047059,106,1.800458509,108,2.701108106,162,2.734540087,164,24,3.735264917,nope,1,0,0.172992339,-1,-1,59.94404568,322
-14,244.4753118,1.083129181,65,1.666921597,100,1.700361645,102,2.334224124,140,2.367542817,142,8,3.368232817,nope,1,0,0.184832807,-1,1,59.94404568,322
-15,247.8446914,1.149778665,69,1.983813241,119,2.017121301,121,2.984615796,179,3.017972985,181,28,4.018679116,nope,1,0,0.195116529,1,-1,59.94404568,322
-16,251.8642688,1.11665282,67,1.883919124,113,1.91730271,115,2.684537117,161,2.717985231,163,16,3.151779004,a,0,1,0.204291548,1,-1,59.94404568,322
-17,255.0169801,1.09976323,66,1.533369654,92,1.566775238,94,2.834399007,170,2.86774923,172,46,3.318434427,a,0,1,0.199457948,-1,-1,59.94404568,322
-18,258.3363411,1.032990924,62,1.66672765,100,1.700082639,102,2.817627105,169,2.851015825,171,37,3.184832989,l,0,1,0.195746294,1,1,59.94404568,322
-19,261.5220738,1.099737932,66,1.917113529,115,1.95040839,117,3.034706024,182,3.068015918,184,35,3.885530101,a,0,1,0.192859345,-1,-1,59.94404568,322
-20,265.4084874,1.066415573,64,1.533457279,92,1.566728676,94,2.85113058,171,2.884459905,173,47,3.635278775,l,0,1,0.190451032,1,1,59.94404568,322
-21,269.0446443,1.016318379,61,1.850371287,111,1.883665049,113,2.901122551,174,2.934506504,176,31,3.585352065,a,0,1,0.188351748,-1,-1,59.94404568,322
-22,272.6308792,1.083066487,65,1.53330916,92,1.566697513,94,2.484063283,149,2.517504797,151,25,2.817955607,l,0,1,0.186531234,1,1,59.94404568,322
-23,275.4497158,1.19972554,72,1.866962073,112,1.900351159,114,2.951113055,177,2.984560435,179,33,3.35168236,l,0,1,0.184837303,1,1,59.94404568,322
-24,278.8022671,1.049734229,63,1.583399388,95,1.616947225,97,2.784414369,167,2.817883747,169,40,3.185027303,l,0,1,0.183301735,1,1,59.94404568,322
-25,281.9881622,0.999611005,60,1.633533978,98,1.666847171,100,2.600863489,156,2.634326268,158,26,3.018147502,l,0,1,0.181883235,1,1,59.94404568,322
-26,285.0071783,0.999605872,60,1.499999633,90,1.533323825,92,2.534144346,152,2.567523166,154,30,2.984560802,l,0,1,0.180552809,-1,1,59.94404568,322
-27,287.9926326,1.116592326,67,1.783762133,107,1.817210613,109,2.417669341,145,2.45106246,147,6,2.951334867,a,0,1,0.179289984,-1,-1,59.94404568,322
-28,290.9448888,1.100128028,66,1.550401498,93,1.583774085,95,2.751339853,165,2.784700341,167,40,3.30198516,a,0,1,0.178075436,-1,-1,59.94404568,322
-29,294.2477817,1.183055928,71,1.700179063,102,1.733535518,104,2.500743894,150,2.534209606,152,16,2.884659352,l,0,1,0.176892414,-1,1,59.94404568,322
-30,297.1334288,1.199709775,72,1.750252059,105,1.783591283,107,2.750912361,165,2.784284215,167,28,3.385058613,l,0,1,0.175727527,1,1,59.94404568,322
-31,300.5193783,1.066350313,64,1.500052062,90,1.533321259,92,2.684350502,161,2.717645364,163,39,3.451824686,l,0,1,0.174621219,1,1,59.94404568,322
-32,303.9720788,1.049684367,63,1.600128761,96,1.633499882,98,2.801053917,168,2.834348412,170,40,3.835217694,nope,0,0,0.173513545,-1,-1,59.94404568,322
-33,307.8081842,0.999903209,60,1.616974722,97,1.650336311,99,2.501081195,150,2.534350759,152,21,3.118369387,l,1,1,0.175438549,1,1,59.94404568,322
-34,310.9274283,1.116470238,67,1.616835036,97,1.650205423,99,2.801111112,168,2.834544927,170,39,3.301808077,a,0,1,0.174474564,1,-1,59.94404568,322
-35,314.2301112,1.099766163,66,1.616769409,97,1.650128431,99,2.717680194,163,2.750964056,165,34,3.668685826,a,0,1,0.17355611,-1,-1,59.94404568,322
