Trial,ButtonPressTimeinOverallExp,squareStartTime,squareStartFrame,flash_circleStartTime,flash_circleStartFrame,flash_circleEndTime,flash_circleEndFrame,lilsquareStartTime,lilsquareStartFrame,lilsquareEndTime,lilsquareEndFrame,lilafterflash,ButtonPressTime,Key,false_presses,Acc,Opacity,FlashSide,CorrSide,SquareAbsent,frameRate,session,participant,fill
0,94.8388636,1.016724998,60,1.51698054,90,1.550401572,92,2.451106017,146,2.484488553,148,36,2.98496774,left,1,1,0.136,-1,-1,right,59.93921547,2,912,2
-1,97.89275331,1.132172871,68,1.699273043,102,1.732663644,104,2.6833726,161,2.716690241,163,39,3.150592807,left,1,1,0.136,-1,-1,right,59.93921547,2,912,2
-2,101.0626474,0.997972528,60,1.665253669,100,1.698518515,102,2.499146848,150,2.532578879,152,30,2.799598832,right,1,1,0.136,1,1,right,59.93921547,2,912,2
-3,103.8815373,1.114552926,67,1.631637222,98,1.664991527,100,2.665884275,160,2.699181018,162,42,3.699920881,nope,2,0,0.136,-1,-1,right,59.93921547,2,912,2
-4,107.6055998,1.026909289,62,1.810777061,109,1.844158496,111,2.244441682,135,2.277893878,137,6,2.344753539,right,0,1,0.136,1,1,left,59.93921547,2,912,2
-5,109.969215,1.081763234,65,1.682169681,101,1.715577881,103,2.165959068,130,2.19944316,132,9,2.649834246,right,0,1,0.136,1,1,left,59.93921547,2,912,2
-6,112.6380738,1.131614858,68,1.782192266,107,1.8155836,109,2.466063851,148,2.499364994,150,21,2.666417724,right,1,1,0.136,1,1,left,59.93921547,2,912,2
-7,115.3235637,1.131569029,68,1.648678257,99,1.682069224,101,2.0323622,122,2.065667009,124,3,2.132712186,left,0,1,0.136,-1,-1,right,59.93921547,2,912,2
-8,117.4752194,1.081616214,65,1.64874315,99,1.682108454,101,2.382634644,143,2.415946052,145,24,2.666476752,left,0,1,0.136,-1,-1,right,59.93921547,2,912,2
-9,120.1607192,1.098317015,66,1.865567212,112,1.899006942,114,2.499363161,150,2.532730298,152,18,2.933238596,right,0,1,0.136,-1,1,right,59.93921547,2,912,2
-10,123.1128965,1.031584574,62,1.465284759,88,1.498626965,90,2.049141092,123,2.082477432,125,15,2.399644881,left,0,1,0.136,1,-1,left,59.93921547,2,912,2
-11,125.5315446,1.181839713,71,1.765466902,106,1.798881334,108,2.249276819,135,2.282594094,137,9,2.599775108,left,0,1,0.136,-1,-1,right,59.93921547,2,912,2
