Trial,ButtonPressTimeinOverallExp,squareStartTime,squareStartFrame,flash_circleStartTime,flash_circleStartFrame,flash_circleEndTime,flash_circleEndFrame,lilsquareStartTime,lilsquareStartFrame,lilsquareEndTime,lilsquareEndFrame,lilafterflash,ButtonPressTime,Key,false_presses,Acc,Opacity,FlashSide,CorrSide,SquareAbsent,frameRate,session,participant,fill
0,118.8836106,1.200226652,71,1.834034333,109,1.86739487,111,2.918217701,174,2.951596937,176,45,3.535626687,right,0,1,0.136,1,1,left,59.97862566,2,902,2
-1,122.4749987,1.111748561,67,1.511949255,91,1.545295127,93,2.045710521,123,2.079126786,125,12,2.412787522,right,0,1,0.136,1,1,left,59.97862566,2,902,2
-2,124.9069559,0.998133479,60,1.648669091,99,1.682043927,101,2.582695211,155,2.616155472,157,36,3.033288678,left,0,1,0.136,-1,-1,right,59.97862566,2,902,2
-3,127.959312,1.081705673,65,1.882170121,113,1.915649081,115,2.315959764,139,2.349273006,141,6,2.683034932,right,0,1,0.136,1,1,left,59.97862566,2,902,2
-4,130.66129,1.031661567,62,1.682346398,101,1.715590346,103,2.366159322,142,2.399415003,144,21,2.733215791,left,0,1,0.136,-1,-1,right,59.97862566,2,902,2
-5,133.4134533,1.198601374,72,1.798924963,108,1.83239219,110,2.733038708,164,2.76635525,166,36,3.50045279,left,0,1,0.136,1,-1,left,59.97862566,2,902,2
-6,136.9328811,1.098365043,66,1.832331329,110,1.865671702,112,2.616318257,157,2.649714724,159,27,3.016795758,left,0,1,0.136,-1,-1,right,59.97862566,2,902,2
-7,139.968572,1.031780355,62,1.798976291,108,1.832369092,110,2.683069762,161,2.7164248,163,33,3.100336421,left,0,1,0.136,-1,-1,right,59.97862566,2,902,2
-8,143.0875857,1.148377985,69,1.882344271,113,1.915638815,115,2.816308431,169,2.849768326,171,36,3.200175323,left,0,1,0.136,1,-1,right,59.97862566,2,902,2
-9,146.3070741,1.198343632,72,1.948896696,117,1.982294996,119,2.983076655,179,3.016549748,181,42,3.366883786,right,0,1,0.136,-1,1,right,59.97862566,2,902,2
-10,149.6930803,1.198269206,72,1.731981343,104,1.765443071,106,2.11568985,127,2.148965696,129,3,2.682929709,left,0,1,0.136,-1,-1,right,59.97862566,2,902,2
-11,152.3952002,1.031535079,62,1.565279846,94,1.598714443,96,2.649429118,159,2.682751159,161,45,3.083243325,right,0,1,0.136,1,1,left,59.97862566,2,902,2
-12,155.4975289,1.148389718,69,1.949057647,117,1.982381888,119,2.482729455,149,2.516087792,151,12,2.899994647,left,0,1,0.136,-1,-1,right,59.97862566,2,902,2
-13,158.4162804,1.098510229,66,1.648905568,99,1.682365463,101,2.482900305,149,2.516336735,151,30,2.766679352,right,0,1,0.136,1,1,left,59.97862566,2,902,2
-14,161.2018677,1.081681475,65,1.548658972,93,1.582077437,95,2.582857629,155,2.616182603,157,42,2.96666916,right,0,1,0.136,-1,1,right,59.97862566,2,902,2
-35,164.9561402,1.130538428,68,1.747631377,105,1.780987515,107,2.431585454,146,2.4648591,148,21,2.798603427,right,0,1,0.136,1,1,left,59.97862566,2,902,2
-36,167.7736388,1.165181442,70,1.799075282,108,1.832479448,110,2.583072842,155,2.616403682,157,27,2.933442076,right,0,1,0.118453407,1,1,left,59.97862566,2,902,2
-37,170.7261479,1.114976752,67,1.732222953,104,1.765466168,106,2.215890251,133,2.249184062,135,9,2.599652653,right,0,1,0.105597184,1,1,left,59.97862566,2,902,2
-38,173.3447627,1.065162157,64,1.465430312,88,1.498723022,90,1.99920001,120,2.032558348,122,12,2.349555679,left,0,1,0.095272305,-1,-1,right,59.97862566,2,902,2
-39,175.7132347,1.198505317,72,1.849070259,111,1.882430796,113,2.349477953,141,2.382781296,143,10,2.733304883,left,0,1,0.086573731,-1,-1,right,59.97862566,2,902,2
-40,178.4655458,1.064977009,64,1.615428809,97,1.648816477,99,1.94899312,117,1.982446415,119,0,2.516269641,left,0,1,0.078622314,-1,-1,right,59.97862566,2,902,2
-41,181.0008319,1.148454245,69,1.732192523,104,1.765595223,106,2.416189129,145,2.449424278,147,21,2.766512535,right,0,1,0.071349651,1,1,left,59.97862566,2,902,2
-42,183.7864584,1.064504787,64,1.631679385,98,1.664910502,100,2.715802993,163,2.74909497,165,45,3.26635635,right,0,1,0.064800665,-1,1,right,59.97862566,2,902,2
-43,187.0721326,1.03176349,62,1.73232451,104,1.765671849,106,2.216024072,133,2.249434471,135,9,2.783351188,right,0,1,0.058737998,-1,1,left,59.97862566,2,902,2
-44,189.8743895,1.11510214,67,1.665600136,100,1.698961406,102,2.049111395,123,2.082537193,125,3,3.083376413,nope,0,0,0.052992078,-1,-1,right,59.97862566,2,902,2
-45,192.999284,1.076083011,65,1.843200121,111,1.876645717,113,2.577195371,155,2.610495048,157,24,3.611372031,nope,0,0,0.061594841,-1,-1,right,59.97862566,2,902,2
-46,196.6296153,1.148478076,69,1.598851197,96,1.632205135,98,2.482903971,149,2.516279174,151,33,3.517005104,nope,0,0,0.067543056,1,-1,left,59.97862566,2,902,2
-47,200.166032,1.03152078,62,1.832180277,110,1.865405161,112,2.866271511,172,2.899524259,174,42,3.383462131,left,0,1,0.072631062,-1,-1,right,59.97862566,2,902,2
-48,203.5684699,1.148518039,69,1.598864029,96,1.632200369,98,2.032574479,122,2.065860957,124,6,3.066682945,nope,0,0,0.069951356,-1,-1,right,59.97862566,2,902,2
-49,206.6541007,1.014870942,61,1.565263348,94,1.598616553,96,1.898882654,114,1.932240258,116,0,2.933096343,nope,0,0,0.074109411,1,1,left,59.97862566,2,902,2
