Trial,ButtonPressTimeinOverallExp,squareStartTime,squareStartFrame,flash_circleStartTime,flash_circleStartFrame,flash_circleEndTime,flash_circleEndFrame,lilsquareStartTime,lilsquareStartFrame,lilsquareEndTime,lilsquareEndFrame,lilafterflash,ButtonPressTime,Key,false_presses,Acc,Opacity,FlashSide,CorrSide,date,frameRate,participant
0,133.7545018,1.149752213,69,1.883657392,113,1.916972406,115,3.535040929,212,3.568373908,214,67,4.135517402,a,0,1,0.119,-1,-1,NA,59.96027619,223
-1,137.9081076,1.149590162,69,1.599899397,96,1.633206711,98,2.600636691,156,2.633996801,158,28,3.017599015,a,0,1,0.119,1,-1,NA,59.96027619,223
-2,140.9438245,1.049392878,63,1.649962475,99,1.683121305,101,2.617307764,157,2.65066714,159,26,3.18442706,l,0,1,0.119,-1,1,NA,59.96027619,223
-3,144.1463843,1.11614976,67,1.716505245,103,1.749820259,105,2.80072109,168,2.834092198,170,33,3.267731094,l,0,1,0.119,1,1,NA,59.96027619,223
-4,147.4323311,1.049407543,63,1.76664165,106,1.79979498,108,2.500450773,150,2.533794017,152,12,3.534596939,nope,0,0,0.1134,-1,-1,NA,59.96027619,223
-5,150.9682142,1.1829961,71,1.966911197,118,2.000297338,120,3.30129725,198,3.334738385,200,48,3.935127234,a,0,1,0.1302,1,-1,NA,59.96027619,223
-6,154.9215366,1.015936344,61,1.816650834,109,1.84981663,111,3.584639486,215,3.617925537,217,74,4.61874569,nope,0,0,0.1246,1,-1,NA,59.96027619,223
-7,159.541567,1.16623777,70,1.666626582,100,1.699891367,102,2.500633355,150,2.533990531,152,18,2.984411222,a,1,0,0.1414,1,-1,NA,59.96027619,223
-8,162.5441018,1.199460759,72,2.033468266,122,2.066711053,124,3.067576302,184,3.100944844,186,30,3.484650815,a,0,1,0.1582,-1,-1,NA,59.96027619,223
-9,166.0469321,1.016023602,61,1.533084587,92,1.566302077,94,2.166809347,130,2.200192555,132,6,2.617131047,l,0,1,0.1526,-1,1,NA,59.96027619,223
-10,168.8735886,1.108222467,67,1.875495822,113,1.908779673,115,3.610257085,217,3.643549735,219,72,4.294053724,l,0,1,0.147,1,1,NA,59.96027619,223
-11,173.1859651,1.032600817,62,1.716413221,103,1.749694871,105,3.000731795,180,3.034103637,182,45,3.367683102,a,0,1,0.134762484,1,-1,NA,59.96027619,223
-12,176.5720083,1.182588407,71,1.983265501,119,2.016489223,121,2.950605289,177,2.983994729,179,26,3.517739985,a,0,1,0.125717683,1,-1,NA,59.96027619,223
-13,180.1079904,1.199369468,72,1.866570927,112,1.899887408,114,2.450404559,147,2.48371444,149,3,3.484495364,nope,0,0,0.118718167,1,-1,NA,59.96027619,223
-14,183.5939834,1.065984758,64,1.749868288,105,1.783106309,107,3.451252209,207,3.484557691,209,70,3.934832463,a,0,1,0.133618047,-1,-1,NA,59.96027619,223
-15,187.5471452,1.115919149,67,1.816467519,109,1.849829095,111,2.51710168,151,2.550385531,153,10,2.967438412,l,0,1,0.13031311,-1,1,NA,59.96027619,223
-16,190.532814,0.999157482,60,1.683101507,101,1.716338062,103,2.366945074,142,2.40037081,144,9,2.700563768,l,0,1,0.127655971,-1,1,NA,59.96027619,223
-17,193.2516862,1.015809856,61,1.482855057,89,1.516097478,91,3.084108055,185,3.117412803,187,64,3.634592943,l,0,1,0.12535272,-1,1,NA,59.96027619,223
-18,196.9044839,1.049272256,63,1.532972764,92,1.566226917,94,3.334311993,200,3.367721965,202,76,4.368488957,nope,0,0,0.123399618,1,1,NA,59.96027619,223
-19,201.2744569,1.099403162,66,1.716529076,103,1.749834191,105,2.567231486,154,2.600586829,156,19,3.201061836,l,0,1,0.12932057,-1,1,NA,59.96027619,223
-20,204.4937689,1.166033923,70,1.766423138,106,1.799703322,108,3.250919969,195,3.28426028,197,57,3.734671805,a,0,1,0.127836863,-1,-1,NA,59.96027619,223
-21,208.2467635,1.132573356,68,1.949834998,117,1.983129114,119,3.017366938,181,3.050720815,183,32,3.501037015,a,0,1,0.126501364,1,-1,NA,59.96027619,223
-22,211.7661533,1.065900433,64,1.683114705,101,1.716285267,103,3.117431868,187,3.150824241,189,54,3.50109531,a,0,1,0.125273633,1,-1,NA,59.96027619,223
-23,215.2855607,1.149249928,69,1.966595528,118,1.999792487,120,3.751287149,225,3.784638093,227,75,4.168237741,a,0,1,0.12412594,-1,-1,NA,59.96027619,223
